Member,Party,Home State,District,Meeting Type,Date,Time,Location,Address
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Mar 29, 2017","10:00 AM, EST",Samuels Public Library,"330 E Criser Rd, Front Royal, VA 22630"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Sat, Apr 1, 2017","11:30 AM, EST",Municipal Building,"201 Green St, Bridgewater, VA 22812"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 3, 2017","9:00 AM, EST","Amherst Co. Administration Building, Board of Supervisor's Room","153 Washington St, Amherst, VA 24521"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 3, 2017","9:00 AM, EST",Luray Town Hall,"45 E Main St, Luray, VA 22835"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Apr 5, 2017","10:00 AM, EST",Samuels Public Library,"330 E Criser Rd, Front Royal, VA 22630"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 6, 2017","11:30 AM, EST",Elkton Area Community Center,"20593 Blue and Gold Dr, Elkton, VA 22827"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 10, 2017","9:00 AM, EST","Botetourt Co. Courthouse, Second Floor Conference Room","1 E Main St, Fincastle, VA 24090"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 10, 2017","11:00 AM, EST",Goodwill,"River James Shopping Center, 174 River James Dr, Madison Heights, VA 24572"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 11, 2017","10:30 AM, EST",Town Hall,"19753 Main St, Buchanan, VA 24066"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Apr 12, 2017","10:00 AM, EST",Samuels Public Library,"330 E Criser Rd, Front Royal, VA 22630"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","9:00 AM, EST","Town Hall, Council Chambers","116 Broadway Ave, Broadway, VA 22815"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","2:30 PM, EST",Highland County Library,"Water St, Monterey, VA 24465"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","11:30 AM, EST",Town Council Chambers,"5901 Main St, Mt Jackson, VA 22842"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 13, 2017","11:30 AM, EST","Bath Co. Courthouse, Second Floor","65 Courthouse Hill Rd, Warm Springs, VA 24484"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Fri, Apr 14, 2017","9:30 AM, EST",Town Hall,"601 Dogwood Ave, Grottoes, VA 24441"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Mon, Apr 17, 2017","9:00 AM, EST",Luray Town Hall,"45 E Main St, Luray, VA 22835"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 18, 2017","10:00 AM, EST",Forest Public Library,"15583 Forest Rd, Forest, VA 24551"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 18, 2017","11:30 AM, EST","Public Library, First Floor Conference Room","600 S Wayne Ave, Waynesboro, VA 22980"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Wed, Apr 19, 2017","10:00 AM, EST",Samuels Public Library,"330 E Criser Rd, Front Royal, VA 22630"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 20, 2017","11:00 AM, EST","City Hall, Circuit Courtroom","2039 Sycamore Ave, Buena Vista, VA 24416"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 20, 2017","9:00 AM, EST","Rockbridge Co. Administration Building, Second Floor","150 S Main St, Lexington, VA 24450"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Thu, Apr 20, 2017","9:30 AM, EST","Town Hall, Town Council Chambers","135 N Main St, Woodstock, VA 22664"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, Apr 25, 2017","8:30 AM, EST","Town Hall, Town Conference Room","311 S Pollard St, Vinton, VA 24179"
Bob Goodlatte,Republican,Virginia,VA-6,Office Hours,"Tue, May 2, 2017","11:30 AM, EST",Municipal Building,"201 Green St, Bridgewater, VA 22812"
Don Beyer,Democrat,Virginia,VA-08,Teletown Hall,"Wed, Mar 1, 2017","5:45 PM, EST",N/A,Virginia
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Tue, Feb 21, 2017","5:30 PM, PST",Lincoln High School auditorium,"701 S 37th St, Tacoma, WA 98418"
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Wed, Feb 22, 2017","5:30 PM, PST",Admiral Theatre,"515 Pacific Ave, Bremerton, WA 98337"
Dave Reichert,Republican,Washington,WA-08,Tele-town Hall,"Thu, Feb 23, 2017","1:00 PM, PST",Facebook Live,Washington
Dave Reichert,Republican,Washington,WA-08,Other,"Thu, Feb 23, 2017","1:00 PM, PST",N/A,Washington
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 2, 2017","8:30 AM, EST",Russell Senate Office Building,"224 First St NE #154, Washington, DC 20003"
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Fri, Mar 3, 2017","5:30 PM, PST",7th St Theater,"313 7th St, Hoquiam, WA 98550"
Adam Smith,Democratic,Washington,WA-09,Town Hall,"Sat, Mar 4, 2017","10:00 AM, PST",Rainier Arts Center,"3515 S Alaska St, Seattle, WA 98118"
Adam Smith,Democrat,Washington,WA-09,Town Hall,"Sat, Mar 4, 2017","10:00 AM, PST",The Rainier Arts Center,"3515 S Alaska St, Seattle, WA 98118"
Derek Kilmer,Democratic,Washington,WA-06,Town Hall,"Mon, Mar 6, 2017","5:30 PM, PST",Sequim High School auditorium,"503 N Sequim Ave, Sequim, WA 98382"
Derek Kilmer,Democratic,Washington,WA-06,Tele-Town Hall,"Wed, Mar 8, 2017","6:05 PM, PST",Call-in,Washington
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 9, 2017","8:30 AM, EST",Russell Senate Office Building,"224 First St NE #154, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 23, 2017","8:30 AM, EST",Russell Senate Office Building,"Washington Hall, 241 Jamestown Rd #154, Williamsburg, VA 23185"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Mar 30, 2017","8:30 AM, EST",Russell Senate Office Building,"Washington Hall, 241 Jamestown Rd #154, Williamsburg, VA 23185"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Apr 6, 2017","8:30 AM, EST",Russell Senate Office Building,"Washington Hall, 241 Jamestown Rd #154, Williamsburg, VA 23185"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Apr 27, 2017","8:30 AM, EST",Russell Senate Office Building,"Washington Hall, 241 Jamestown Rd #541, Williamsburg, VA 23185"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 4, 2017","8:30 AM, EST",Russell Senate Office Building,"Washington Hall, 241 Jamestown Rd #541, Williamsburg, VA 23185"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 11, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 18, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, May 25, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 8, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 15, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 22, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jun 29, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jul 13, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jul 20, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Jul 27, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Sep 7, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Sep 14, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Sep 28, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Oct 5, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Oct 19, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Oct 26, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Nov 2, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Nov 16, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Nov 30, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Dec 7, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democrat,Washington,Senate,DC Event,"Thu, Dec 14, 2017","8:30 AM, EST","Russell Senate Office Building, Room 541","224 First St NE, Washington, DC 20003"
Patty Murray,Democratic,Washington,Senate,Coffee,Every Thursday Senate is in session.,"9:00 AM, EST","Russell Senate Office Bldg, Room 154",Washington
Maria Cantwell,Democratic,Washington,Senate,Coffee,Every Wed Senate is in session.,"11:30 AM, EST",Cantwell Senate office,"Hart Senate Office Building, #511, Washington, DC 20002"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Fri, Feb 24, 2017","1:30 PM, EST",Logan City Hall,"219 Dingess St, Logan, WV 25601"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","3:00 AM, EST",Boone County Courthouse,"200 State St, Madison, WV 25130"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","2:30 PM, EST",Gilbert Town Hall,"51 Wharncliffe Ave, Gilbert, WV 25621"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","11:15 AM, EST",North Fork Senior Center,"Mountaineer Dr, Riverton, WV 26814"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 21, 2017","12:00 PM, EST",New Cumberland Municipal Building,"104 N Court St, New Cumberland, WV 26047"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Wed, Feb 22, 2017","11:30 AM, EST",Moorefield Senior Center,"409 Spring Ave, Moorefield, WV 26836"
shelley moore capito,Republican,West Virginia,Senate,Mobile Office Hours,"Wed, Feb 22, 2017","12:00 PM, EST",Taylor County Courthouse,"214 W Main St, Grafton, WV 26354"
shelley moore capito,Republican,West Virginia,Senate,Mobile Office Hours,"Thu, Feb 23, 2017","11:00 AM, EST",Saint Marys City Building,"418 2nd St, St Marys, WV 26170"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Thu, Feb 23, 2017","11:30 AM, EST",Milton Public Library,"1140 Smith St, Milton, WV 25541"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Thu, Feb 23, 2017","11:30 AM, EST",Frankfort District Senior Center,"10 Summit Dr, Ridgeley, WV 26753"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Fri, Feb 24, 2017","11:00 AM, EST",Fayetteville Town Hall,"125 N Court St, Fayetteville, WV 25840"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Mon, Feb 27, 2017","11:00 AM, EST",Wood County Courthouse,"Court Square, Parkersburg, WV 26101"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","11:00 AM, EST",Upshur County Senior Center,"28 N Kanawha St, Buckhannon, WV 26201"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","11:30 AM, EST",Berkeley Springs Senior Center,"106 Sand Mine Rd, Berkeley Springs, WV 25411"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","12:00 PM, EST",Follansbee Public Library,"844 Main St, Follansbee, WV 26037"
Shelley Moore Captio,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","1:30 PM, EST",Buffalo Branch Library,"19209 Buffalo Rd, Buffalo, WV 25033"
Shelley Moore Capito,Republican,West Virginia,Senate,Mobile Office Hours,"Tue, Feb 28, 2017","3:45 PM, EST",Roane County Library,"110 Parking Plaza, Spencer, WV 25276"
Ron Johnson,Republican,Wisconsin,Senate,"""Empty Chair"" Town Hall","Wed, Feb 22, 2017","6:00 PM, CST",First Congregational United Church of Christ,"1609 University Ave, Madison, WI 53726"
Ron Kind,Democratic,Wisconsin,WI-03,Town Hall,"Wed, Feb 22, 2017","3:00 PM, CST",American Legion,"711 6th St S, La Crosse, WI 54601"
Ron Kind,Democratic,Wisconsin,WI-03,Town Hall,"Wed, Feb 22, 2017","1:15 PM, CST","The U - Student Union at UW-La Crosse: Student Senate Chamber, Room #2310","521 East Avenue N, La Crosse, WI 54601"
Ron Kind,Democrat,Wisconsin,WI-03,Town Hall,"Wed, Feb 22, 2017","1:15 PM, CST",Student Union at UW-La Crosse - Room #2310,"521 East Avenue N, La Crosse, WI 54601"
Ron Johnson,Republican,Wisconsin,Senate,Teletown Hall,"Thu, Feb 23, 2017","6:30 PM, CST",,Wisconsin
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","8:30 AM, CST",Butler Village Hall,"12621 W Hampton Ave, Butler, WI 53007"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","9:30 AM, CST",Lannon Village Hall,"20399 W Main St, Lannon, WI 53046"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","10:15 AM, CST",Sussex Civc Center,"N64W23760 Main St, Sussex, WI 53089"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","11:15 AM, CST",Merton Village Hall,"N67w28343 Sussex Rd, Hartland, WI 53029"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","1:15 PM, CST",Nashotah Village Hall,"Nashotah Village Clerk's Office, N44W32950 Watertown Plank Rd, Nashotah, WI 53058"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","8:30 AM, CST",Butler Village Hall,"12621 W Hampton Ave, Butler, WI 53007"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","8:30 AM, CST",Butler Village Hall,"12621 W Hampton Ave, Butler, WI 53007"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","9:30 AM, CST",Lannon Village Hall,"20399 W Main St, Lannon, WI 53046"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","10:15 AM, CST",Sussex Civic Center,"N64W23760 Main St, Sussex, WI 53089"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","11:15 AM, CST",Merton Village Hall,"N67w28343 Sussex Rd, Hartland, WI 53029"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Fri, Mar 3, 2017","1:15 PM, CST",Nashotah Village Hall,"Nashotah Village Clerk's Office, N44W32950 Watertown Plank Rd, Nashotah, WI 53058"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 4, 2017","9:00 AM, CST",Delafield City Hall,"500 Genesee Street, Delafield, WI 53018"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 4, 2017","1:00 PM, CST",Lake Mills Community Center,"200 Water St, Lake Mills, WI 53551"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sun, Mar 5, 2017","1:00 PM, CST",Juneau Community Center,"500 Lincoln Dr, Juneau, WI 53039"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","9:00 AM, CST",West Bend City Hall,"1115 S Main St, West Bend, WI 53095"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","9:00 AM, CST",West Bend City Hall,"1115 S Main St, West Bend, WI 53095"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","1:00 PM, CST",West Allis Public Library,"7421 W National Ave, West Allis, WI 53214"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sun, Mar 19, 2017","1:00 PM, CST",Richfield Village Hall,"4125 Hubertus Rd, Hubertus, WI 53033"
Jim Sensenbrenner,Republican,Wisconsin,WI-05,Town Hall,"Sat, Mar 18, 2017","9:00 AM, CST",West Bend City Hall,"1115 S Main St, West Bend, WI 53095"
Mike Enzi,Republican,Wyoming,Senate,Mobile Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",Sundance Town Hall,"213 E Main St, Sundance, WY 82729"
Mike Enzi,Republican,Wyoming,Senate,Mobile Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",Sundance Town Hall,"213 E Main St, Sundance, WY 82729"
Mike Enzi,Republican,Wyoming,Senate,Mobile Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",Sundance Town Hall,"213 E Main St, Sundance, WY 82729"
Michael Enzi,Republican,Wyoming,Senate,Office Hours,"Tue, Mar 14, 2017","3:30 PM, MST",Sundance Town Hall,"213 E Main St, Sundance, WY 82729"
Michael Enzi,Republican,Wyoming,Senate,Office Hours,"Tue, Mar 14, 2017","11:00 AM, MST",Pine Haven Town Hall,"24 Waters Dr, Pine Haven, WY 82721"
Michael Enzi,Republican,Wyoming,Senate,Office Hours,"Tue, Mar 14, 2017","10:00 AM, MST",Moorcroft Town Hall,"104 N Big Horn Ave, Moorcroft, WY 82721"