city,state,population
San Ramon ,CA,"49,161"
Bedford ,TX,"49,155"
Jupiter,FL,"48,879"
Poway ,CA,"48,858"
Perth Amboy ,NJ,"48,742"
Tigard ,OR,"48,713"
Logan ,UT,"48,657"
Alexandria ,LA,"48,639"
Valdosta ,GA,"48,547"
East Providence ,RI,"48,480"
Wilson ,NC,"48,433"
Albany ,OR,"48,081"
Middletown ,CT,"48,030"
Palm Springs ,CA,"47,952"
Sheboygan ,WI,"47,895"
Hendersonville ,TN,"47,725"
Greenwood ,IN,"47,720"
Stillwater ,OK,"47,653"
DeSoto ,TX,"47,568"
West Sacramento ,CA,"47,511"
Bartlett ,TN,"47,501"
Kentwood ,MI,"47,419"
Euclid ,OH,"47,415"
Enid ,OK,"47,396"
Kirkland ,WA,"47,303"
Buckeye,AZ,"47,261"
Newark ,OH,"47,236"
Pinellas Park ,FL,"47,173"
Harrisburg ,PA,"47,148"
Cypress ,CA,"47,123"
Covina ,CA,"46,944"
Azusa ,CA,"46,847"
Lenexa ,KS,"46,822"
Lehi ,UT,"46,802"
Roseville ,MI,"46,782"
Salina ,KS,"46,483"
West New York,NJ,"46,472"
Roswell ,NM,"46,198"
Barnstable Town ,MA,"46,184"
Glenview,IL,"46,180"
Richland ,WA,"46,155"
Altoona ,PA,"46,144"
Mansfield ,TX,"46,142"
Portage ,MI,"46,133"
Plainfield ,NJ,"46,126"
Chesterfield ,MO,"46,064"
Elmhurst ,IL,"46,013"
East Lansing ,MI,"45,857"
Cleveland Heights ,OH,"45,827"
Grand Island ,NE,"45,801"
Kokomo ,IN,"45,694"
Biloxi ,MS,"45,670"
Edina ,MN,"45,608"
Maricopa ,AZ,"45,571"
DeKalb ,IL,"45,497"
St. Louis Park ,MN,"45,465"
Olympia ,WA,"45,322"
Summerville,SC,"45,193"
Wauwatosa ,WI,"45,004"
Cedar Hill ,TX,"44,786"
Titusville ,FL,"44,756"
Binghamton ,NY,"44,729"
Bell Gardens ,CA,"44,692"
Danville ,VA,"44,660"
Texas City ,TX,"44,491"
Bountiful ,UT,"44,473"
Kingsport ,TN,"44,473"
Castle Rock,CO,"44,369"
Dublin ,CA,"44,297"
Southaven ,MS,"44,076"
Methuen ,MA,"44,055"
Huntersville,NC,"44,054"
Harrisonburg ,VA,"44,015"
Freeport,NY,"43,881"
La Quinta ,CA,"43,865"
Warren ,OH,"43,789"
Parker,CO,"43,767"
San Luis Obispo ,CA,"43,636"
Lincoln ,CA,"43,602"
Oro Valley,AZ,"43,465"
East Point ,GA,"43,418"
Coeur d'Alene ,ID,"43,360"
Sierra Vista ,AZ,"43,320"
Woonsocket ,RI,"43,268"
Lawrence ,IN,"43,247"
Covington ,KY,"43,235"
Moline ,IL,"43,088"
Buffalo Grove,IL,"42,972"
Lombard,IL,"42,890"
Attleboro ,MA,"42,833"
Hackensack ,NJ,"42,804"
Coral Gables ,FL,"42,781"
Bonita Springs ,FL,"42,730"
Prescott ,AZ,"42,697"
Ceres ,CA,"42,690"
Pittsfield ,MA,"42,652"
Farmington ,NM,"42,637"
Strongsville ,OH,"42,617"
Kannapolis ,NC,"42,521"
Commerce City ,CO,"42,473"
Fairfield ,OH,"42,384"
Caldwell ,ID,"42,331"
Draper ,UT,"42,317"
Oakland Park ,FL,"42,293"
Ankeny ,IA,"42,287"
The Colony ,TX,"42,281"
Concord ,NH,"42,255"
Bartlett,IL,"42,209"
Sayreville,NJ,"42,208"
Twin Falls ,ID,"42,197"
Noblesville ,IN,"42,155"
Fond du Lac ,WI,"42,025"
Crystal Lake ,IL,"41,797"
Blacksburg,VA,"41,796"
Newark ,CA,"41,781"
North Lauderdale ,FL,"41,772"
Chelsea ,MA,"41,577"
Aliso Viejo ,CA,"41,572"
Charlottesville ,VA,"41,487"
Hickory ,NC,"41,305"
Salem ,MA,"41,256"
Danville,CA,"41,182"
Casa Grande ,AZ,"41,152"
Rancho Palos Verdes ,CA,"41,106"
Lompoc ,CA,"41,099"
Belleville ,IL,"41,097"
Leominster ,MA,"41,055"
Wilkes-Barre ,PA,"40,932"
Midland ,MI,"40,917"
Hutchinson ,KS,"40,889"
Fort Pierce ,FL,"40,885"
Bullhead City ,AZ,"40,868"
Littleton ,CO,"40,777"
Jefferson City ,MO,"40,771"
Lacey ,WA,"40,702"
La Puente ,CA,"40,642"
Westfield ,MA,"40,608"
Hoboken ,NJ,"40,577"
Rohnert Park ,CA,"40,496"
San Gabriel ,CA,"40,445"
San Bruno ,CA,"40,315"
Fitchburg ,MA,"40,239"
Haltom City ,TX,"40,181"
Sammamish ,WA,"40,179"
Edmonds ,WA,"40,158"
Muskogee ,OK,"40,099"
York ,PA,"40,097"
El Centro ,CA,"40,083"
Carol Stream,IL,"40,004"
Columbus ,IN,"40,001"
Shelton ,CT,"39,991"
Quincy ,IL,"39,983"
Altamonte Springs ,FL,"39,947"
Holyoke ,MA,"39,947"
Beavercreek ,OH,"39,909"
Cleveland ,TN,"39,753"
Riverton ,UT,"39,751"
Hagerstown ,MD,"39,728"
Pflugerville ,TX,"39,653"
Urbana ,IL,"39,641"
Leesburg,VA,"39,641"
Spartanburg ,SC,"39,584"
Hot Springs ,AR,"39,467"
Bozeman ,MT,"39,442"
State College,PA,"39,419"
Atlantic City ,NJ,"39,408"
Muskegon ,MI,"39,401"
Coachella ,CA,"39,391"
Beverly ,MA,"39,343"
Collierville,TN,"39,211"
Linden ,NJ,"39,162"
Coppell ,TX,"39,154"
Brookfield ,WI,"39,020"
Keller ,TX,"38,951"
Burlington ,VT,"38,897"
Madison ,AL,"38,714"
Hallandale Beach ,FL,"38,683"
New Berlin ,WI,"38,649"
Sumter ,SC,"38,625"
Campbell ,CA,"38,617"
Culver City ,CA,"38,580"
Hurst ,TX,"38,550"
Dublin ,OH,"38,536"
Prescott Valley,AZ,"38,535"
Huntsville ,TX,"38,480"
Urbandale ,IA,"38,369"
Calexico ,CA,"38,344"
Temple City ,CA,"38,341"
Meridian ,MS,"38,232"
Rock Island ,IL,"38,139"
Morgan Hill ,CA,"38,096"
Sherman ,TX,"38,077"
Cedar Falls ,IA,"38,059"
Romeoville,IL,"38,028"
North Miami Beach ,FL,"37,997"
Ormond Beach ,FL,"37,984"
Apopka ,FL,"37,935"
Marlborough ,MA,"37,932"
Goose Creek ,SC,"37,900"
Florence ,AL,"37,877"
Smyrna,TN,"37,867"
Wylie ,TX,"37,861"
San Jacinto ,CA,"37,842"
Carpentersville,IL,"37,741"
Pacifica ,CA,"37,739"
Monrovia ,CA,"37,651"
Goldsboro ,NC,"37,597"
Stanton ,CA,"37,589"
Wausau ,WI,"37,576"
Cape Girardeau ,MO,"37,370"
Everett ,MA,"37,353"
New Albany ,IN,"37,296"
Germantown ,TN,"37,251"
Huber Heights ,OH,"37,148"
Streamwood,IL,"37,119"
Findlay ,OH,"36,987"
Portage ,IN,"36,976"
Lancaster ,OH,"36,976"
Park Ridge ,IL,"36,927"
Lake Oswego ,OR,"36,926"
Addison,IL,"36,917"
Woburn ,MA,"36,871"
Gadsden ,AL,"36,816"
Calumet City ,IL,"36,800"
Hanover Park,IL,"36,777"
Kearny,NJ,"36,746"
Richmond ,IN,"36,733"
Del Rio ,TX,"36,682"
Bell ,CA,"36,657"
Panama City ,FL,"36,644"
Texarkana ,TX,"36,611"
Manhattan Beach ,CA,"36,605"
Chester ,PA,"36,564"
Longview ,WA,"36,562"
Montclair ,CA,"36,530"
Annapolis ,MD,"36,524"
Plainfield,IL,"36,507"
Riviera Beach ,FL,"36,430"
Norwich ,CT,"36,388"
Moorpark ,CA,"36,372"
Puyallup ,WA,"36,330"
University City ,MO,"36,289"
Fort Lee,NJ,"36,275"
Mankato ,MN,"36,245"
Tupelo ,MS,"36,233"
Westerville ,OH,"36,231"
Brentwood ,TN,"36,176"
Beloit ,WI,"36,160"
Duncanville ,TX,"36,109"
Dover ,DE,"36,107"
Maplewood ,MN,"36,087"
Greenfield ,WI,"36,075"
Wheeling,IL,"36,063"
Moorhead ,MN,"36,012"
Valley Stream,NY,"36,007"
Bremerton ,WA,"36,006"
West Hollywood ,CA,"36,005"
Dunedin ,FL,"35,988"
Bartlesville ,OK,"35,914"
Keizer ,OR,"35,864"
Marion ,OH,"35,841"
Greenville ,MS,"35,764"
Lancaster ,TX,"35,761"
Alamogordo ,NM,"35,757"
Dana Point ,CA,"35,700"
Long Beach ,NY,"35,698"
Gainesville ,GA,"35,668"
Bentonville ,AR,"35,526"
Lake Worth ,FL,"35,513"
Franklin ,WI,"35,500"
Claremont ,CA,"35,470"
Minot ,ND,"35,419"
Cottonwood Heights ,UT,"35,418"
Lincoln Park ,MI,"35,317"
Torrington ,CT,"35,312"
Rockwall ,TX,"35,247"
Manassas ,VA,"35,205"
Martinez ,CA,"35,145"
Fairbanks ,AK,"35,132"
Lewiston ,ME,"35,131"
San Dimas ,CA,"35,043"
Los Banos ,CA,"34,968"
Burleson ,TX,"34,908"
Hollister ,CA,"34,877"
San Juan Capistrano ,CA,"34,793"
Peachtree City ,GA,"34,788"
Leavenworth ,KS,"34,729"
Brunswick ,OH,"34,711"
Menomonee Falls,WI,"34,607"
Lufkin ,TX,"34,530"
Marysville ,WA,"34,482"
Marana,AZ,"34,466"
Beverly Hills ,CA,"34,445"
Columbia ,TN,"34,402"
La Porte ,TX,"34,274"
Wildwood ,MO,"34,195"
Woodridge,IL,"34,130"
Holland ,MI,"34,076"
Friendswood ,TX,"33,979"
San Juan ,TX,"33,970"
Northbrook,IL,"33,936"
Hilton Head Island,SC,"33,913"
Stow ,OH,"33,899"
Gahanna ,OH,"33,892"
Bay City ,MI,"33,874"
Grove City ,OH,"33,829"
Pleasant Grove ,UT,"33,798"
Seaside ,CA,"33,797"
Delaware ,OH,"33,719"
Mundelein,IL,"33,717"
Northglenn ,CO,"33,697"
Reynoldsburg ,OH,"33,657"
Dalton ,GA,"33,648"
La Verne ,CA,"33,623"
Cottage Grove ,MN,"33,623"
Rosenberg ,TX,"33,595"
East Palo Alto ,CA,"33,575"
Lynnwood ,WA,"33,572"
Jackson ,MI,"33,518"
Oak Creek ,WI,"33,482"
Twentynine Palms ,CA,"33,480"
Shakopee ,MN,"33,455"
Pekin ,IL,"33,430"
Inver Grove Heights ,MN,"33,383"
Weslaco ,TX,"33,354"
Winter Haven ,FL,"33,353"
Elk Grove Village,IL,"33,320"
Grants Pass ,OR,"33,217"
Manitowoc ,WI,"33,169"
Apex,NC,"33,075"
Merrillville,IN,"33,057"
New Iberia ,LA,"32,959"
Petersburg ,VA,"32,916"
Richmond ,KY,"32,895"
Pleasant Hill ,CA,"32,862"
St. Charles ,IL,"32,829"
Marion ,IA,"32,821"
Roseville ,MN,"32,815"
Apache Junction ,AZ,"32,776"
Plant City ,FL,"32,761"
Richfield ,MN,"32,728"
Englewood ,CO,"32,669"
Winter Springs ,FL,"32,667"
Beaumont ,CA,"32,663"
Goshen ,IN,"32,630"
Long Branch ,NJ,"32,622"
Massillon ,OH,"32,613"
North Chicago ,IL,"32,608"
Oviedo ,FL,"32,606"
Bettendorf ,IA,"32,584"
Monroe ,NC,"32,543"
Houma ,LA,"32,512"
Eastpointe ,MI,"32,497"
Prattville ,AL,"32,480"
Michigan City ,IN,"32,405"
Fairborn ,OH,"32,366"
Watertown ,MA,"32,365"
Clovis ,NM,"32,352"
Bothell ,WA,"32,307"
Ocoee ,FL,"32,290"
Danville ,IL,"32,248"
Nacogdoches ,TX,"32,205"
Greenacres ,FL,"32,174"
Franklin ,MA,"32,148"
Butte-Silver Bow,MT,"32,119"
Hopkinsville ,KY,"32,076"
Oakley ,CA,"32,035"
Socorro ,TX,"32,007"
Naugatuck,CT,"31,931"
Upper Arlington ,OH,"31,878"
Glendale Heights,IL,"31,847"
Norristown,PA,"31,843"
Laguna Hills ,CA,"31,838"
Olive Branch ,MS,"31,830"
Lewiston ,ID,"31,764"
Bangor ,ME,"31,756"
Kennesaw ,GA,"31,628"
Parkersburg ,WV,"31,611"
Florence ,SC,"31,570"
Bethel Park,PA,"31,562"
Spanish Fork ,UT,"31,538"
Mount Vernon ,WA,"31,513"
Oswego,IL,"31,504"
Highland Park ,IL,"31,449"
Oregon City ,OR,"31,404"
Brighton ,CO,"31,380"
Jacksonville ,AR,"31,351"
Lawndale ,CA,"31,346"
Leawood ,KS,"31,342"
North Olmsted ,OH,"31,319"
Burien ,WA,"31,316"
North Tonawanda ,NY,"31,222"
McMinnville ,OR,"31,185"
Galesburg ,IL,"31,181"
Phenix City ,AL,"31,125"
Douglasville ,GA,"31,035"
Lauderdale Lakes ,FL,"31,004"
Juneau,AK,"30,988"
Wheat Ridge ,CO,"30,894"
Vestavia Hills ,AL,"30,892"
Deer Park ,TX,"30,890"
Port Huron ,MI,"30,869"
West Lafayette ,IN,"30,847"
Walnut ,CA,"30,744"
San Pablo ,CA,"30,729"
Copperas Cove ,TX,"30,710"
Granite City ,IL,"30,703"
Schertz ,TX,"30,669"
Rochester ,NH,"30,654"
Walla Walla ,WA,"30,643"
Gurnee,IL,"30,608"
Myrtle Beach ,SC,"30,596"
Chicago Heights ,IL,"30,586"
Shawnee ,OK,"30,562"
Oak Park ,MI,"30,547"
Westlake ,OH,"30,546"
Fair Lawn,NJ,"30,521"
Jeffersonville ,IN,"30,479"
Hobbs ,NM,"30,476"
Newnan ,GA,"30,474"
Saratoga ,CA,"30,445"
Andover ,MN,"30,442"
Valparaiso ,IN,"30,429"
Kearney ,NE,"30,417"
Algonquin,IL,"30,352"
University Place ,WA,"30,345"
Royal Palm Beach,FL,"30,312"
Gloucester ,MA,"30,243"
Marion ,IN,"30,212"
Hinesville ,GA,"30,152"
Tooele ,UT,"30,120"
Menlo Park ,CA,"30,087"
Texarkana ,AR,"30,087"
La Vergne ,TN,"30,034"
Ballwin ,MO,"30,033"
East Chicago ,IN,"29,978"
Wenatchee ,WA,"29,898"
West Bend ,WI,"29,894"
Cleburne ,TX,"29,889"
Newark ,DE,"29,886"
Burton ,MI,"29,845"
Ithaca ,NY,"29,763"
Lake in the Hills,IL,"29,698"
Mason ,OH,"29,682"
Poughkeepsie ,NY,"29,654"
Morgantown ,WV,"29,642"
Bowling Green ,OH,"29,542"
Madison Heights ,MI,"29,531"
Jamestown ,NY,"29,463"
Williamsport ,PA,"29,456"
Benton ,AR,"29,452"
Westfield,NJ,"29,450"
Aiken ,SC,"29,434"
Cooper City ,FL,"29,422"
Goleta ,CA,"29,404"
Alton ,IL,"29,393"
Winter Garden ,FL,"29,385"
Alabaster ,AL,"29,352"
Helena ,MT,"29,351"
Gallatin ,TN,"29,343"
North Royalton ,OH,"29,331"
Los Gatos,CA,"29,320"
Sanford ,NC,"29,284"
Elmira ,NY,"29,271"
Lawrenceville ,GA,"29,258"
Aventura ,FL,"29,254"
Cookeville ,TN,"29,234"
Englewood ,NJ,"29,112"
Foster City ,CA,"29,089"
Cutler Bay,FL,"29,070"
Salisbury ,NC,"28,972"
Garfield ,NJ,"28,971"
Millville ,NJ,"28,930"
Wheeling ,WV,"28,913"
Schererville,IN,"28,886"
Saratoga Springs ,NY,"28,844"
East St. Louis ,IL,"28,773"
Des Moines ,WA,"28,755"
St. Cloud ,FL,"28,745"
Paso Robles,CA,"28,715"
Waxahachie ,TX,"28,668"
Cedar City ,UT,"28,667"
Niles,IL,"28,666"
Rahway ,NJ,"28,624"
Lindenhurst,NY,"28,620"
Santa Paula ,CA,"28,618"
Dover ,NH,"28,609"
New Bern ,NC,"28,586"
Garden City ,KS,"28,557"
Adelanto ,CA,"28,553"
Bessemer ,AL,"28,542"
Springville ,UT,"28,520"
Atascadero ,CA,"28,452"
LaGrange ,GA,"28,401"
Northampton ,MA,"28,379"
Los Altos ,CA,"28,349"
Sun Prairie ,WI,"28,322"
Gladstone ,MO,"28,243"
Maywood ,CA,"28,224"
Salisbury ,MD,"28,200"
Raytown ,MO,"28,194"
Port Chester,NY,"28,171"
North Ridgeville ,OH,"28,153"
Midvale ,UT,"28,129"
Soledad ,CA,"28,124"
Newburgh ,NY,"28,101"
Dania Beach ,FL,"28,093"
Agawam ,MA,"28,091"
Harvey ,IL,"28,056"
Rexburg ,ID,"28,028"
Henderson ,KY,"27,933"
Winter Park ,FL,"27,909"
Hilliard ,OH,"27,901"
Hobart ,IN,"27,891"
Round Lake Beach,IL,"27,855"
Clearfield ,UT,"27,851"
Plainfield,IN,"27,832"
Kingman ,AZ,"27,817"
Monterey ,CA,"27,763"
Florence ,KY,"27,745"
Oak Forest ,IL,"27,740"
Southgate ,MI,"27,739"
Garfield Heights ,OH,"27,734"
Burlingame ,CA,"27,706"
Savage ,MN,"27,692"
Oak Ridge ,TN,"27,677"
Laramie ,WY,"27,664"
Prichard ,AL,"27,662"
Monroeville,PA,"27,639"
Morristown ,TN,"27,636"
Russellville ,AR,"27,602"
Burbank ,IL,"27,567"
O'Fallon ,IL,"27,540"
Batavia ,IL,"27,502"
Owasso ,OK,"27,467"
West Springfield ,MA,"27,459"
Lake Jackson ,TX,"27,417"
Brooklyn Center ,MN,"27,402"
Xenia ,OH,"27,357"
Mason City ,IA,"27,337"
Frankfort ,KY,"27,322"
Watertown ,NY,"27,310"
De Land ,FL,"27,243"
San Carlos ,CA,"27,238"
Slidell ,LA,"27,183"
Statesboro ,GA,"27,158"
Maryville ,TN,"27,156"
Glen Ellyn,IL,"27,142"
Garner,NC,"27,138"
Auburn ,NY,"27,138"
West Memphis ,AR,"27,070"
Wake Forest,NC,"27,068"
American Fork ,UT,"27,064"
Oakdale ,MN,"27,034"
Anderson ,SC,"27,027"
Suisun City ,CA,"26,977"
College Park ,MD,"26,925"
Pullman ,WA,"26,920"
Matthews,NC,"26,901"
Glen Cove ,NY,"26,895"
Gillette ,WY,"26,871"
McHenry ,IL,"26,862"
Opelika ,AL,"26,808"
Winona ,MN,"26,785"
Kirkwood ,MO,"26,760"
Garden City ,MI,"26,743"
Kankakee ,IL,"26,710"
Melrose ,MA,"26,708"
Weatherford ,TX,"26,686"
Mount Pleasant ,MI,"26,675"
Lansing,IL,"26,672"
Eagle Pass ,TX,"26,668"
Harrison,NY,"26,665"
Norco ,CA,"26,659"
Inkster ,MI,"26,621"
Southlake ,TX,"26,595"
Barberton ,OH,"26,581"
Mount Pleasant,WI,"26,572"
Atwater ,CA,"26,565"
Imperial Beach ,CA,"26,543"
Thomasville ,NC,"26,526"
Tualatin ,OR,"26,476"
Paradise,CA,"26,469"
Belvidere ,IL,"26,461"
Post Falls ,ID,"26,460"
Shaker Heights ,OH,"26,460"
Corsicana ,TX,"26,459"
Farmers Branch ,TX,"26,455"
West Chicago ,IL,"26,454"
Nicholasville ,KY,"26,444"
Wilmette,IL,"26,418"
Statesville ,NC,"26,414"
Seguin ,TX,"26,394"
Emporia ,KS,"26,380"
Spring Valley,NY,"26,291"
Carbondale ,IL,"26,231"
Spring Hill ,TN,"26,230"
Jeffersontown ,KY,"26,226"
Superior ,WI,"26,223"
Wooster ,OH,"26,212"
Plum,PA,"26,198"
Benicia ,CA,"26,174"
Paramus,NJ,"26,128"
Duluth ,GA,"26,125"
Homer Glen,IL,"26,111"
Kyle ,TX,"26,103"
Easton ,PA,"26,080"
Paris ,TX,"26,050"
Trotwood ,OH,"26,039"
Allen Park ,MI,"26,014"
Medina ,OH,"26,011"
Collinsville ,IL,"25,960"
Maryland Heights ,MO,"25,949"
Winchester ,VA,"25,897"
New London ,CT,"25,891"
Fridley ,MN,"25,868"
Middletown ,NY,"25,865"
Marshalltown ,IA,"25,850"
SeaTac ,WA,"25,840"
Kaysville ,UT,"25,820"
Bristol ,TN,"25,817"
Dodge City ,KS,"25,689"
Sandusky ,OH,"25,688"
Holladay ,UT,"25,676"
Greenville ,TX,"25,676"
Ridgecrest ,CA,"25,638"
Carlsbad ,NM,"25,629"
Bergenfield,NJ,"25,611"
Paducah ,KY,"25,521"
Salem ,VA,"25,449"
Leander ,TX,"25,424"
Harker Heights ,TX,"25,417"
Hastings ,NE,"25,394"
Enterprise ,AL,"25,351"
Hazelwood ,MO,"25,345"
Stevens Point ,WI,"25,327"
Riverside ,OH,"25,327"
Burlington ,IA,"25,327"
Eureka ,CA,"25,300"
West Linn ,OR,"25,236"
Fountain Hills,AZ,"25,227"
Fremont ,NE,"25,224"
Fort Dodge ,IA,"25,180"
Zion ,IL,"25,161"
Corcoran ,CA,"25,139"
Zanesville ,OH,"25,129"
Shoreview ,MN,"25,111"
San Benito ,TX,"25,072"
Lafayette ,CO,"25,065"
Neenah ,WI,"25,060"
Maywood,IL,"25,035"
Lafayette ,CA,"25,011"
Westmont,IL,"24,979"
Vicksburg ,MS,"24,974"
Little Elm ,TX,"24,947"
San Luis ,AZ,"24,909"
Owatonna ,MN,"24,855"
University Park ,TX,"24,853"
Lockport ,IL,"24,810"
Ardmore ,OK,"24,810"
Paragould ,AR,"24,800"
De Pere ,WI,"24,779"
Belmont ,CA,"24,776"
Casselberry ,FL,"24,759"
El Mirage ,AZ,"24,751"
Rockledge ,FL,"24,747"
Bridgeton ,NJ,"24,742"
Wyandotte ,MI,"24,739"
Kingsville ,TX,"24,702"
Horn Lake ,MS,"24,669"
Lebanon ,TN,"24,648"
Wasco ,CA,"24,628"
Freeport ,IL,"24,615"
Asheboro ,NC,"24,609"
Barstow ,CA,"24,596"
Belton ,MO,"24,591"
Edwardsville ,IL,"24,557"
Greer ,SC,"24,557"
Redmond ,OR,"24,551"
Sherwood ,AR,"24,542"
Ponca City ,OK,"24,507"
East Cleveland ,OH,"24,507"
Desert Hot Springs ,CA,"24,489"
Cornelius,NC,"24,487"
Hercules ,CA,"24,484"
Peekskill ,NY,"24,484"
Vernon Hills,IL,"24,462"
Aberdeen ,SD,"24,460"
Loves Park ,IL,"24,457"
South Pasadena ,CA,"24,446"
Colleyville ,TX,"24,428"
Rockville Centre,NY,"24,414"
Pearl ,MS,"24,400"
Crown Point ,IN,"24,376"
Queen Creek,AZ,"24,361"
Ottumwa ,IA,"24,342"
Cudahy ,CA,"24,334"
Geneva ,IL,"24,302"
Big Spring ,TX,"24,270"
Caledonia,WI,"24,220"
New Castle ,PA,"24,212"
Starkville ,MS,"24,187"
Mercer Island ,WA,"24,163"
Ridgewood,NJ,"24,163"
Elizabethtown ,KY,"24,144"
New Lenox,IL,"24,137"
Seal Beach ,CA,"24,127"
Chaska ,MN,"24,116"
North Platte ,NE,"24,107"
Lebanon ,PA,"24,097"
White Bear Lake ,MN,"24,095"
Lemon Grove ,CA,"24,089"
